#radius total type_0_0 type_1_1 type_0_1
7.53000 1.02192 1.01456 1.02452 1.02862
7.55000 1.02247 1.01633 1.02668 1.02754
7.57000 1.02119 1.01525 1.02332 1.02661
7.59000 1.02127 1.01659 1.02349 1.02539
7.61000 1.02136 1.01935 1.02026 1.02364
7.63000 1.02030 1.01784 1.01270 1.02465
7.65000 1.01943 1.01672 1.01411 1.02348
7.67000 1.01817 1.01684 1.01192 1.02107
7.69000 1.01959 1.02013 1.01501 1.02020
7.71000 1.01877 1.01942 1.01445 1.01919
7.73000 1.01902 1.01910 1.01805 1.01917
7.75000 1.01676 1.01944 1.01238 1.01519
7.77000 1.01698 1.01927 1.00964 1.01653
7.79000 1.01445 1.01879 0.99914 1.01395
7.81000 1.01482 1.01936 1.00415 1.01294
7.83000 1.01258 1.01529 0.99803 1.01350
7.85000 1.01245 1.01899 0.99204 1.01100
7.87000 1.01110 1.01537 0.99226 1.01154
7.89000 1.01104 1.01727 0.98881 1.01037
7.91000 1.01098 1.01722 0.99000 1.00999
7.93000 1.00979 1.01447 0.99244 1.00945
7.95000 1.00921 1.01355 0.99186 1.00921
7.97000 1.00868 1.01351 0.99135 1.00818
7.99000 1.00965 1.01367 0.98972 1.01061
